Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1753.707
FDW14,OUT017,1502.2002
NCN55,OUT010,902.2206
FDQ58,OUT017,2822.244
FDY38,OUT027,6047.6396
FDH56,OUT046,2118.5002
FDL48,OUT018,732.05054
FDC48,OUT027,2049.7024
FDN33,OUT045,1406.1685
FDA36,OUT017,3252.7937
FDT44,OUT017,2018.3867
FDQ56,OUT045,1233.171
NCC54,OUT019,514.68835
FDU11,OUT049,2154.909
DRL59,OUT013,1028.3483
FDM24,OUT049,2480.2505
FDI57,OUT045,7985.426
DRC12,OUT018,2840.4622
NCM42,OUT027,2725.6426
FDA46,OUT010,481.18036
FDA31,OUT013,3187.3032
NCJ31,OUT035,3938.1272
FDG52,OUT046,800.47076
NCL19,OUT019,235.776
FDS10,OUT035,3566.8782
FDX22,OUT010,473.15683
NCF19,OUT035,940.90753
NCE06,OUT046,2298.1423
DRC27,OUT046,4250.266
FDE21,OUT035,1796.5461
NCR42,OUT019,62.630016
FDX51,OUT018,3206.2686
NCR06,OUT018,514.66986
FDU31,OUT027,6805.5415
FDU59,OUT017,2301.7715
FDR03,OUT027,6140.361
FDS49,OUT027,2738.033
FDD48,OUT010,200.88283
NCF18,OUT017,2681.3083
NCD43,OUT027,2567.856
NCD54,OUT018,2042.8219
FDY19,OUT010,238.90282
NCY54,OUT017,2043.0317
NCL19,OUT018,2082.3113
FDP23,OUT010,600.186
FDC26,OUT013,1996.2422
FDR14,OUT010,241.35999
NCS41,OUT035,3164.9727
FDF41,OUT035,4059.8965
FDU34,OUT046,2051.4126
DRH11,OUT046,1004.5105
FDM03,OUT013,1708.3833
FDS31,OUT017,3270.9563
FDJ20,OUT017,2066.0632
FDV44,OUT027,5752.0674
FDG02,OUT049,3090.651
FDA09,OUT013,3326.3206
FDT04,OUT013,764.8818
FDL58,OUT019,537.0213
FDE52,OUT045,1224.2589
FDW12,OUT035,2170.856
FDL51,OUT017,3914.6658
NCY42,OUT027,3614.0896
FDR07,OUT017,1661.8235
FDN40,OUT045,1853.0798
FDB35,OUT027,1965.6407
FDA22,OUT017,1997.4489
NCL06,OUT046,3511.2117
FDI35,OUT013,2534.27
NCW42,OUT045,3226.822
NCX06,OUT049,3396.8691
FDC37,OUT027,2679.0732
FDZ14,OUT018,1754.8572
DRG49,OUT049,4219.929
NCG06,OUT045,3938.566
DRC36,OUT045,2733.3555
FDV21,OUT019,260.44974
FDB53,OUT046,2017.1445
DRP47,OUT019,732.6499
FDA14,OUT013,2362.6794
DRC24,OUT035,2467.2483
FDW21,OUT018,1604.0117
NCH29,OUT046,1959.8423
FDU58,OUT013,3183.521
FDY27,OUT017,2973.817
FDV56,OUT035,1861.5518
FDT59,OUT046,4559.0464
FDB23,OUT046,3988.9487
FDR49,OUT045,867.6729
FDB03,OUT010,624.39844
FDN39,OUT045,2593.1697
FDX02,OUT027,5716.8584
FDQ16,OUT027,2706.6763
FDU35,OUT018,1506.0822
NCT29,OUT013,1899.8616
FDZ27,OUT046,842.5627
FDN57,OUT017,2451.8955
FDA03,OUT018,2116.7112
FDZ36,OUT045,3144.821
NCU05,OUT013,1288.2163
FDT39,OUT018,2324.2683
FDK60,OUT017,1425.1272
FDZ25,OUT017,3159.941
FDG12,OUT046,2331.5295
DRB01,OUT019,347.92526
NCC43,OUT027,6455.2183
FDX13,OUT019,682.067
FDM22,OUT049,863.482
FDJ03,OUT027,1666.8617
FDU14,OUT018,4841.4277
FDB33,OUT010,348.05505
FDP27,OUT046,3432.5234
FDO38,OUT010,160.28032
FDE28,OUT027,6093.115
FDO27,OUT035,1250.4061
DRL23,OUT027,2488.4524
FDS28,OUT046,1009.7086
FDX24,OUT013,1412.3783
FDZ02,OUT035,1630.8254
FDL46,OUT045,1597.353
FDS60,OUT027,4905.2534
NCO06,OUT017,586.5013
FDO16,OUT035,1323.8147
FDC60,OUT049,1312.8624
FDA48,OUT018,3510.2197
FDZ36,OUT027,5584.6895
FDK27,OUT045,1467.8998
FDW23,OUT018,691.89575
FDM14,OUT018,1677.3315
FDM14,OUT013,1902.3721
FDW60,OUT018,3049.9675
FDE21,OUT013,2084.8074
NCM42,OUT035,1898.4082
FDY59,OUT010,154.12016
DRI49,OUT049,1482.5413
FDT28,OUT019,247.11583
FDQ22,OUT018,709.9076
FDR60,OUT049,1153.3734
FDC50,OUT019,323.33984
FDV24,OUT013,2498.2568
DRF48,OUT010,511.78607
FDQ47,OUT046,1037.0336
DRN36,OUT049,1426.0992
NCY06,OUT035,2028.1399
FDE52,OUT035,1537.2805
NCB54,OUT045,1920.2189
NCF31,OUT035,2576.0981
FDJ08,OUT027,5816.6025
